region,state,site_name,site_id,epa_id,address,city,zip,county,ff,lattude,longitude,final_date
7,IA,RAILROAD AVENUE GROUNDWATER CONTAMINATION,703065,IA0001610963,12TH & MAPLE,WEST DES MOINES,50265,POLK,N,41.578333,-93.702222,2002-09-05
7,IA,SHAW AVENUE DUMP,700244,IAD980630560,SHAW AVE,CHARLES CITY,50616,FLOYD,N,43.0563,-92.6631,1987-07-22
7,IA,VOGEL PAINT & WAX CO.,700237,IAD980630487,GRANT AVENUE BETWEEN 490TH ST.  AND 500TH ST.,MAURICE,51036,SIOUX,N,42.934439,-96.193339,1986-06-10
7,KS,57TH AND NORTH BROADWAY STREETS SITE,700694,KSD981710247,57TH & N BROADWAY STREETS,WICHITA,67219,SEDGWICK,N,37.783636,-97.337547,1992-10-14
7,KS,ACE SERVICES,700521,KSD046746731,345 CONVESSE,COLBY,67701,THOMAS,N,39.396267,-101.040361,1995-09-29
7,KS,"CHEMICAL COMMODITIES, INC.",700513,KSD031349624,S. KEELER ST,OLATHE,66061,JOHNSON,N,38.878244,-94.805603,1994-05-31
7,KS,CHEROKEE COUNTY,700667,KSD980741862,SOUTHEAST PORTION OF THE  STATE OF KS,GALENA,66739,CHEROKEE,N,37.079653,-94.724186,1983-09-08
7,KS,DOEPKE DISPOSAL (HOLLIDAY),700631,KSD980632301,HOLLIDAY DR,SHAWNEE MISSION,66218,JOHNSON,N,39.036314,-94.794083,1983-09-08
7,KS,FORMER UNITED ZINC & ASSOCIATED SMELTERS,705026,KSN000705026,HIGHWAY 54 & KANSAS DRIVE,IOLA,66749,ALLEN,N,37.92228,-95.3859,2013-05-24
7,KS,FORT RILEY,700743,KS6214020756,DICKMAN AVE,JUNCTION CITY,66441,GEARY,Y,39.306647,-96.960906,1990-08-30
7,KS,OBEE ROAD,700580,KSD980631766,OBEE RD,HUTCHINSON,67501,RENO,N,38.063503,-97.857775,1987-07-22
7,KS,PESTER REFINERY CO.,700447,KSD000829846,N TOPEKA ST,EL DORADO,67042,BUTLER,N,37.839364,-96.857611,1989-03-31
7,KS,"PLATING, INC.",705326,KSD065735912,8801 WEST SIXTH STREET,Great Bend,67530,BARTON,N,38.346542,-98.84946,2008-03-19
7,KS,STROTHER FIELD INDUSTRIAL PARK,700677,KSD980862726,NE 1/4 SEC 19 T33S R4E,WINFIELD,67156,COWLEY,N,37.172031,-97.028919,1986-06-10
7,KS,WRIGHT GROUND WATER CONTAMINATION,702403,KSD984985929,7 MILES NE OF DODGE CITY OFF HWY 50/56,WRIGHT,67882,FORD,N,37.780781,-99.889442,1996-06-17
7,MO,ANNAPOLIS LEAD MINE,702917,MO0000958611,EAST SIDE OF IRON COUNTY ROAD 138 APPROX. 3/8 MILE NO. OF MO STATE HWY 49,ANNAPOLIS,63620,IRON,N,37.355556,-90.675,2004-07-22
7,MO,ARMOUR ROAD,702515,MOD046750253,2251 ARMOUR ROAD,NORTH KANSAS CITY,64116,CLAY,N,39.145,-94.556111,1999-05-10
7,MO,BEE CEE MANUFACTURING CO.,701439,MOD980860522,MALDEN INDUSTRIAL PARK,MALDEN,63863,DUNKLIN,N,36.603292,-89.97905,1986-06-10
7,MO,BIG RIVER MINE TAILINGS/ST. JOE MINERALS CORP.,701639,MOD981126899,SECTION 25 26 35 & 36 T37N R4E,DESLOGE,63601,ST. FRANCOIS,N,37.878097,-90.539344,1992-10-14
7,MO,COMPASS PLAZA WELL TCE,706143,MON000706143,201 SOUTH MARSHALL STREET,ROGERSVILLE,65742,GREENE,N,37.109009,-93.083168,2012-03-15
7,MO,CONSERVATION CHEMICAL CO.,700777,MOD000829705,3900 FRONT ST,KANSAS CITY,64120,JACKSON,N,39.1279,-94.4722,1989-10-04
7,MO,ELLISVILLE SITE,701205,MOD980633010,NEAR ELLISVILLE,ELLISVILLE,63011,ST. LOUIS,N,38.603331,-90.618331,1983-09-08
7,MO,FULBRIGHT LANDFILL,701153,MOD980631139,BOLIVAR RD,SPRINGFIELD,65803,GREENE,N,37.273056,-93.3125,1983-09-08
7,MO,LAKE CITY ARMY AMMUNITION PLANT (NORTHWEST LAGOON),701757,MO3213890012,JCT OF HWY 7 & HWY 78,INDEPENDENCE,64050,JACKSON,Y,39.103,-94.2783,1987-07-22
7,MO,LEE CHEMICAL,701378,MOD980853519,HWY 210 E OF HWY 291,LIBERTY,64068,CLAY,N,39.201111,-94.3925,1986-06-10
7,MO,MADISON COUNTY MINES,701102,MOD098633415,401 N MINE LAMOTTE ST,FREDERICKTOWN,63645,MADISON,N,37.546111,-90.276111,2003-09-29
