region,state,site_name,site_id,epa_id,address,city,zip,county,ff,lattude,longitude,final_date
02,NJ,CALDWELL TRUCKING CO.,0200340,NJD048798953,222 PASSAIC AVENUE,FAIRFIELD,07004,ESSEX,N,40.876389,-74.271389,1983-09-08
02,NJ,CHEMICAL CONTROL,0200037,NJD000607481,23 SOUTH FRONT ST,ELIZABETH,07202,UNION,N,+40.643200,-074.193500,1983-09-08
02,NJ,CHEMICAL INSECTICIDE CORP.,0200517,NJD980484653,30 WHITMAN AV,EDISON TOWNSHIP,08817,MIDDLESEX,N,+40.527400,-074.368000,1990-08-30
02,NJ,"CHEMICAL LEAMAN TANK LINES, INC.",0200327,NJD047321443,CEDAR SWAMP & COOPER RDS,BRIDGEPORT,08014,GLOUCESTER,N,39.798331,-75.332781,1984-09-21
02,NJ,"CHEMSOL, INC.",0200607,NJD980528889,FLEMING ST,PISCATAWAY,08854,MIDDLESEX,N,+40.562500,-74.443339,1983-09-08
02,NJ,CIBA-GEIGY CORP.,0200078,NJD001502517,RTE #37,TOMS RIVER,08753,OCEAN,N,+39.986700,-074.236300,1983-09-08
02,NJ,CINNAMINSON TOWNSHIP (BLOCK 702) GROUND WATER,0200995,NJD980785638,1017 UNION LANDING ROAD,CINNAMINSON TOWNSHIP,08077,BURLINGTON,N,+40.017500,-074.986200,1986-06-10
,,CONTAMINATION,,,,,,,,,,NA
02,NJ,COMBE FILL SOUTH LANDFILL,0200489,NJD094966611,PARKER ROAD- BOX 418,CHESTER TOWNSHIP,07930,MORRIS,N,40.771669,-74.738331,1983-09-08
Reg,St,Site Name,Site ID,EPA ID,Address,City,Zip,County,FF?,Latitude,Longitude,NA
02,NJ,CORNELL DUBILIER ELECTRONICS INC.,0201112,NJD981557879,333 HAMILTON BLVD,SOUTH PLAINFIELD,07080,MIDDLESEX,N,40.576389,-74.414167,1998-07-28
02,NJ,COSDEN CHEMICAL COATINGS CORP.,0200022,NJD000565531,CHERRY STREET,BEVERLY,08010,BURLINGTON,N,40.058183,-74.925899,1987-07-22
02,NJ,CPS/MADISON INDUSTRIES,0200109,NJD002141190,WATERWORKS ROAD,OLD BRIDGE TOWNSHIP,08857,MIDDLESEX,N,40.434439,-74.327769,1983-09-08
02,NJ,"CURCIO SCRAP METAL, INC.",0200273,NJD011717584,416 LANZA AVE,SADDLE BROOK TWP,07662,BERGEN,N,+40.890700,-074.103500,1987-07-22
02,NJ,"CURTIS SPECIALTY PAPERS, INC",0203733,NJD057143984,404 FRENCHTOWN ROAD,MILFORD,08848,HUNTERDON,N,40.561758,-75.089842,2009-09-23
02,NJ,D'IMPERIO PROPERTY,0200639,NJD980529416,RTE 322,HAMILTON TOWNSHIP,08330,ATLANTIC,N,39.454439,-74.658889,1983-09-08
02,NJ,DAYCO CORP./L.E CARPENTER CO.,0200136,NJD002168748,170 N MAIN STREET,WHARTON BOROUGH,07885,MORRIS,N,40.903331,-074.577500,1987-07-22
02,NJ,DE REWAL CHEMICAL CO.,0200792,NJD980761373,DELAWARE RIVER DR,KINGWOOD TOWNSHIP,08825,HUNTERDON,N,+40.516200,-075.061400,1984-09-21
02,NJ,DIAMOND ALKALI CO.,0200613,NJD980528996,80 LISTER AVE,NEWARK,07105,ESSEX,N,40.739719,-74.136111,1984-09-21
02,NJ,DIAMOND HEAD OIL REFINERY DIV.,0200484,NJD092226000,1401 HARRISON TURNPIKE,KEARNY,07032,HUDSON,N,40.747222,-74.132194,2002-09-05
02,NJ,DOVER MUNICIPAL WELL 4,0200768,NJD980654131,272 ROUTE46,DOVER,07801,MORRIS,N,+40.885800,-074.542300,1983-09-08
02,NJ,ELLIS PROPERTY,0200620,NJD980529085,SHARP ROAD,EVESHAM TOWNSHIP,08053,BURLINGTON,N,+39.905000,-74.864719,1983-09-08
02,NJ,EMMELL'S SEPTIC LANDFILL,0200986,NJD980772727,128 ZURICH AVE,GALLOWAY TOWNSHIP,08215,ATLANTIC,N,39.500694,-74.543611,1999-07-22
02,NJ,EVOR PHILLIPS LEASING,0200776,NJD980654222,OLD WATER WORKS ROAD,OLD BRIDGE TOWNSHIP,08857,MIDDLESEX,N,+40.437500,-074.325000,1983-09-08
02,NJ,EWAN PROPERTY,0200791,NJD980761365,WALLINGFORD WAY,SHAMONG TOWNSHIP,08088,BURLINGTON,N,39.802781,-74.719439,1984-09-21
02,NJ,FAIR LAWN WELL FIELD,0200765,NJD980654107,IND PARK/HENDERSON BLVD 11 ST,FAIR LAWN,07410,BERGEN,N,+40.937500,-74.131939,1983-09-08
02,NJ,FEDERAL AVIATION ADMINISTRATION TECHNICAL CENTER,0201178,NJ9690510020,ROUTES 563 & 575,ATLANTIC COUNTY,08405,ATLANTIC,Y,39.458331,-74.583339,1990-08-30
,,(USDOT),,,,,,,,,,NA
02,NJ,FORMER KIL-TONE COMPANY,0200874,NJN000200874,527 East Chestnut Avenue,VINELAND,08360,CUMBERLAND,N,39.478410,-75.025489,2016-04-07
02,NJ,FRANKLIN BURN,0204087,NJD986570992,SIX LOCATIONS NEAR MARSHALL MILL ROAD,FRANKLIN TOWNSHIP,08322,GLOUCESTER,N,39.594444,-075.025000,1996-06-17
02,NJ,FRIED INDUSTRIES,0200303,NJD041828906,11 FRESH POND ROAD,EAST BRUNSWICK TOWNSHIP,08816,MIDDLESEX,N,+40.442400,-074.441200,1986-06-10
02,NJ,GARDEN STATE CLEANERS CO.,0200362,NJD053280160,"SUMMER ROAD, P.O. BOX 183",MINOTOLA,08341,ATLANTIC,N,39.519031,-074.949450,1989-03-31
02,NJ,GARFIELD GROUND WATER CONTAMINATION,0206317,NJN000206317,WILLARD STREET AND PIERRE AVENUE,GARFIELD,07026,BERGEN,N,40.871858,-074.106431,2011-09-16
02,NJ,GEMS LANDFILL,0200627,NJD980529192,ERIAL & HICKSTOWN ROADS,GLOUCESTER TOWNSHIP,08012,CAMDEN,N,+39.779450,-75.018889,1983-09-08
02,NJ,GLOBAL SANITARY LANDFILL,0200398,NJD063160667,ERNSTON ROAD,OLD BRIDGE TOWNSHIP,08857,MIDDLESEX,N,40.446389,-74.286111,1989-03-31
02,NJ,GOOSE FARM,0200681,NJD980530109,RT. 539 BETWEEN RTS 537 & 528,PLUMSTEAD TOWNSHIP,08533,OCEAN,N,+40.095550,-074.497500,1983-09-08
02,NJ,HELEN KRAMER LANDFILL,0200552,NJD980505366,JESSUP MILL ROAD,MANTUA TOWNSHIP,08051,GLOUCESTER,N,+39.780100,-075.200300,1983-09-08
02,NJ,"HERCULES, INC. (GIBBSTOWN PLANT)",0200188,NJD002349058,50 NORTH MARKET ST,GIBBSTOWN,08027,GLOUCESTER,N,39.838889,-75.277781,1983-09-08
02,NJ,HIGGINS DISPOSAL,0200359,NJD053102232,121 LAUREL AVE,KINGSTON,08528,SOMERSET,N,+40.387500,-74.615281,1990-08-30
02,NJ,HIGGINS FARM,0201094,NJD981490261,ROUTE 518,FRANKLIN TOWNSHIP,08540,SOMERSET,N,40.406389,-74.602781,1989-03-31
02,NJ,HORSESHOE ROAD,0200781,NJD980663678,Postal Address is unavailable for the Site,SAYREVILLE,08872,MIDDLESEX,N,40.484722,-74.319444,1995-09-29
02,NJ,ICELAND COIN LAUNDRY AREA GW PLUME,0204037,NJ0001360882,1888 SOUTH DELSEA DRIVE,VINELAND,08360,CUMBERLAND,N,+39.457250,-075.047250,1999-10-22
02,NJ,"IMPERIAL OIL CO., INC./CHAMPION CHEMICALS",0200764,NJD980654099,ORCHARD RD,MORGANVILLE,07751,MONMOUTH,N,40.383889,-74.245831,1983-09-08
02,NJ,JIS LANDFILL,0200499,NJD097400998,901-999 CRANBURY SOUTH RIVER ROAD RTE,SOUTH BRUNSWICK,08831,MIDDLESEX,N,40.365831,-74.465281,1983-09-08
,,,,,535,,,,,,,NA
02,NJ,"KAUFFMAN & MINTEER, INC.",0200232,NJD002493054,MONMOUTH ROAD (ROUTE 537),SPRINGFIELD TWP(JOBSTOWN),08041,BURLINGTON,N,+40.036300,-074.694000,1989-03-31
02,NJ,KIN-BUC LANDFILL,0200346,NJD049860836,MEADOW ROAD,EDISON TOWNSHIP,08817,MIDDLESEX,N,+40.489100,-074.378500,1983-09-08
02,NJ,KING OF PRUSSIA,0200551,NJD980505341,PINEY HOLLOW ROAD,WINSLOW TOWNSHIP,08095,CAMDEN,N,+39.626950,-74.889439,1983-09-08
02,NJ,LANDFILL & DEVELOPMENT CO.,0200333,NJD048044325,2023 RTE 38,MOUNT HOLLY,08060,BURLINGTON,N,39.980561,-74.770839,1984-09-21
02,NJ,LANG PROPERTY,0200554,NJD980505382,WHITESBOG-PASADENA ROAD,PEMBERTON TOWNSHIP,08015,BURLINGTON,N,39.929161,-074.494450,1983-09-08
02,NJ,LCP CHEMICALS INC.,0200455,NJD079303020,FOOT OF SOUTH WOOD AVENUE,LINDEN,07036,UNION,N,+40.607500,-74.210278,1998-07-28
